time,open,high,low,close,tick_volume,spread,real_volume
2008-11-07,10.04,10.05,9.98,10.02,49,0,0
2008-11-10,10.2,10.55,10.09,10.18,3565,0,0
2008-11-11,10.19,10.24,9.56,9.75,3525,0,0
2008-11-12,9.79,9.89,9.28,9.35,4462,0,0
2008-11-13,9.31,9.52,8.8,9.43,4769,0,0
2008-11-14,9.43,9.7,9.21,9.51,4503,0,0
2008-11-17,9.46,9.67,9.23,9.29,3822,0,0
2008-11-18,9.29,9.75,9.14,9.62,4142,0,0
2008-11-19,9.61,9.85,9.23,9.23,4072,0,0
2008-11-20,9.26,9.46,8.83,8.95,4476,0,0
2008-11-21,8.99,9.66,8.92,9.64,5300,0,0
2008-11-24,9.64,10.66,9.49,10.53,4629,0,0
2008-11-25,10.54,10.57,10.04,10.31,4651,0,0
2008-11-26,10.27,10.46,10.16,10.31,3179,0,0
2008-11-27,10.31,10.36,10.19,10.33,895,0,0
2008-11-28,10.32,10.36,10.1,10.28,1764,0,0
2008-12-01,10.26,10.28,9.2,9.29,3459,0,0
2008-12-02,9.2,9.71,9.14,9.52,3817,0,0
2008-12-03,9.55,9.72,9.27,9.64,3079,0,0
2008-12-04,9.63,9.69,9.32,9.48,3893,0,0
2008-12-05,9.47,9.55,9.14,9.51,4194,0,0
2008-12-08,9.5,10.35,9.47,9.96,3921,0,0
2008-12-09,9.93,10.07,9.64,9.82,3788,0,0
2008-12-10,9.83,10.26,9.8,10.22,3591,0,0
2008-12-11,10.19,10.51,10.12,10.31,3537,0,0
2008-12-12,10.31,10.37,10.0,10.27,3444,0,0
2008-12-15,10.32,10.72,10.25,10.65,3177,0,0
2008-12-16,10.63,11.27,10.47,11.22,3587,0,0
2008-12-17,11.24,11.6,10.82,11.38,4707,0,0
2008-12-18,11.38,11.45,10.92,10.95,3819,0,0
2008-12-19,10.98,11.01,10.55,10.82,3005,0,0
2008-12-22,10.88,11.05,10.75,10.85,2190,0,0
2008-12-23,10.84,10.86,10.1,10.24,2237,0,0
2008-12-24,10.28,10.43,10.21,10.37,2024,0,0
2008-12-26,10.4,10.74,10.29,10.72,1453,0,0
2008-12-29,10.77,11.25,10.7,10.88,2869,0,0
2008-12-30,10.88,11.13,10.66,10.94,2816,0,0
2008-12-31,10.99,11.22,10.75,11.19,1951,0,0
2009-01-02,11.11,11.56,11.02,11.55,2747,0,0
2009-01-05,11.67,11.73,10.55,11.23,4211,0,0
2009-01-06,11.2,11.51,10.79,11.43,3958,0,0
2009-01-07,11.42,11.58,10.87,11.03,4736,0,0
2009-01-08,11.03,11.33,10.78,11.12,4500,0,0
2009-01-09,11.11,11.6,10.96,11.25,4236,0,0
2009-01-12,11.24,11.26,10.55,10.65,4392,0,0
2009-01-13,10.64,10.84,10.43,10.73,4074,0,0
2009-01-14,10.74,10.87,10.35,10.56,4078,0,0
2009-01-15,10.59,10.66,10.33,10.61,4202,0,0
2009-01-16,10.61,11.28,10.58,11.25,4086,0,0
2009-01-19,11.26,11.3,11.07,11.16,1355,0,0
2009-01-20,11.16,11.38,10.91,11.16,3366,0,0
2009-01-21,11.17,11.5,11.05,11.3,3401,0,0
2009-01-22,11.31,11.49,11.22,11.4,2983,0,0
2009-01-23,11.39,12.07,11.26,11.93,4444,0,0
2009-01-26,11.9,12.27,11.81,12.04,4059,0,0
2009-01-27,12.04,12.21,11.87,12.08,3786,0,0
2009-01-28,12.07,12.17,11.83,11.99,3993,0,0
2009-01-29,11.96,12.41,11.65,12.35,3836,0,0
2009-01-30,12.32,12.65,12.23,12.64,4872,0,0
2009-02-02,12.64,12.67,12.2,12.42,3656,0,0
2009-02-03,12.4,12.47,12.16,12.44,4174,0,0
2009-02-04,12.43,12.59,12.32,12.52,3251,0,0
2009-02-05,12.51,12.93,12.3,12.86,4757,0,0
2009-02-06,12.84,13.19,12.76,13.09,4408,0,0
2009-02-09,13.06,13.11,12.81,12.83,3595,0,0
2009-02-10,12.82,13.22,12.75,13.12,3782,0,0
2009-02-11,13.09,13.67,13.09,13.51,4334,0,0
2009-02-12,13.52,13.74,13.33,13.47,4269,0,0
2009-02-13,13.44,13.71,13.25,13.68,3288,0,0
2009-02-16,13.62,13.68,13.5,13.6,1374,0,0
2009-02-17,13.59,14.21,13.56,14.11,4017,0,0
2009-02-18,14.09,14.39,13.99,14.34,4097,0,0
2009-02-19,14.34,14.39,13.88,14.02,3940,0,0
2009-02-20,14.03,14.6,14.0,14.42,3842,0,0
2009-02-23,14.44,14.61,14.1,14.44,3234,0,0
2009-02-24,14.42,14.59,13.72,13.76,4434,0,0
2009-02-25,13.78,14.14,13.58,13.7,4473,0,0
2009-02-26,13.69,13.75,12.93,13.14,4971,0,0
2009-02-27,13.15,13.36,12.7,13.1,4804,0,0
2009-03-02,13.15,13.34,12.71,12.92,10103,0,0
2009-03-03,12.93,12.95,12.42,12.81,29762,0,0
2009-03-04,12.78,13.15,12.68,12.9,29967,0,0
2009-03-05,13.02,13.31,12.89,13.23,14435,0,0
2009-03-06,13.25,13.53,13.23,13.36,30795,0,0
2009-03-09,13.25,13.41,12.78,12.96,15157,0,0
2009-03-10,12.98,13.01,12.43,12.57,25879,0,0
2009-03-11,12.56,12.89,12.48,12.8,14613,0,0
2009-03-12,12.8,13.08,12.63,12.9,25047,0,0
2009-03-13,12.91,13.29,12.87,13.19,27066,0,0
2009-03-16,12.94,13.19,12.79,12.91,34257,0,0
2009-03-17,12.9,12.99,12.65,12.71,26867,0,0
2009-03-18,12.67,13.0,11.91,12.89,40270,0,0
2009-03-19,12.86,13.69,12.64,13.54,43725,0,0
2009-03-20,13.52,13.82,13.39,13.7,39719,0,0
2009-03-23,13.71,13.89,13.57,13.61,42182,0,0
2009-03-24,13.7,13.74,13.27,13.45,44816,0,0
2009-03-25,13.41,13.58,12.98,13.43,37337,0,0
2009-03-26,13.45,13.75,13.39,13.47,16633,0,0
2009-03-27,13.48,13.58,13.1,13.27,1312,0,0
2009-03-30,13.31,13.35,12.92,13.05,30268,0,0
2009-03-31,13.0,13.27,12.6,12.94,43258,0,0
2009-04-01,12.92,13.17,12.83,13.01,36935,0,0
2009-04-02,13.02,13.12,12.57,12.9,40949,0,0
2009-04-06,12.71,12.71,12.06,12.1,43275,0,0
2009-04-07,12.11,12.36,12.04,12.2,35437,0,0
2009-04-08,12.27,12.47,12.18,12.24,38824,0,0
2009-04-09,12.27,12.4,12.13,12.32,32979,0,0
2009-04-10,12.31,12.43,12.3,12.34,242,0,0
2009-04-13,12.4,12.86,12.36,12.7,14412,0,0
2009-04-14,12.75,12.81,12.56,12.72,34763,0,0
2009-04-15,12.7,12.94,12.66,12.76,35746,0,0
2009-04-16,12.72,12.81,12.11,12.21,33977,0,0
2009-04-17,12.2,12.25,11.8,11.84,35307,0,0
2009-04-20,11.86,12.18,11.79,12.04,31474,0,0
2009-04-21,12.09,12.25,11.87,11.99,21425,0,0
2009-04-22,12.03,12.34,11.97,12.27,6989,0,0
2009-04-23,12.29,12.87,12.28,12.74,9442,0,0
2009-04-24,12.76,12.95,12.66,12.84,9931,0,0
2009-04-27,13.11,13.2,12.76,12.87,7266,0,0
2009-04-28,12.84,12.92,12.35,12.44,8160,0,0
2009-04-29,12.42,12.81,12.37,12.76,7232,0,0
2009-04-30,12.69,12.81,12.19,12.33,7899,0,0
2009-05-01,12.32,12.63,12.04,12.48,8000,0,0
2009-05-04,12.47,13.15,12.42,13.0,7191,0,0
2009-05-05,13.05,13.61,12.99,13.31,8900,0,0
2009-05-06,13.27,13.83,13.23,13.69,8984,0,0
2009-05-07,13.69,14.15,13.64,13.76,9018,0,0
2009-05-08,13.79,14.05,13.76,13.96,7948,0,0
2009-05-11,13.96,14.04,13.68,13.91,6714,0,0
2009-05-12,13.89,14.33,13.84,14.18,4305,0,0
2009-05-13,14.23,14.34,13.88,13.93,1687,0,0
2009-05-14,13.94,14.07,13.72,14.0,4768,0,0
2009-05-15,14.01,14.17,13.85,13.94,6454,0,0
2009-05-18,13.91,14.08,13.62,13.72,8394,0,0
2009-05-19,13.71,14.25,13.7,14.13,6833,0,0
2009-05-20,14.12,14.38,14.05,14.23,8723,0,0
2009-05-21,14.22,14.52,14.07,14.5,6037,0,0
2009-05-22,14.48,14.82,14.41,14.64,5963,0,0
2009-05-25,14.7,14.75,14.56,14.75,624,0,0
2009-05-26,14.65,14.67,14.3,14.55,4438,0,0
2009-05-27,14.56,14.99,14.38,14.71,6492,0,0
2009-05-28,14.68,15.26,14.61,15.09,6578,0,0
2009-05-29,15.17,15.71,15.11,15.69,5361,0,0
2009-06-01,15.72,15.96,15.52,15.56,6318,0,0
2009-06-02,15.48,15.99,15.45,15.93,5745,0,0
2009-06-03,15.93,16.23,15.21,15.29,7767,0,0
2009-06-04,15.32,15.91,15.05,15.84,7656,0,0
2009-06-05,15.89,15.91,15.15,15.23,7657,0,0
2009-06-08,15.29,15.42,14.72,14.93,8319,0,0
2009-06-09,14.92,15.34,14.75,15.18,8741,0,0
2009-06-10,15.19,15.49,15.02,15.14,7819,0,0
2009-06-11,15.19,15.5,14.92,15.35,4820,0,0
2009-06-12,15.34,15.39,14.77,14.79,2133,0,0
2009-06-15,14.6,14.72,14.01,14.02,1465,0,0
2009-06-16,14.06,14.39,14.05,14.14,1313,0,0
2009-06-17,14.12,14.35,13.93,14.3,6069,0,0
2009-06-18,14.34,14.39,14.1,14.17,7365,0,0
2009-06-19,14.16,14.37,14.1,14.18,5430,0,0
2009-06-22,14.04,14.08,13.68,13.69,6466,0,0
2009-06-23,13.74,13.9,13.59,13.8,6330,0,0
