time,open,high,low,close,tick_volume,spread,real_volume
2015-03-30,740.18,746.8,723.27,729.37,3584,0,0
2015-03-31,727.77,739.02,724.07,735.52,3311,0,0
2015-04-01,734.19,750.59,733.09,748.19,3074,0,0
2015-04-02,748.26,755.5,741.04,746.26,2950,0,0
2015-04-06,747.94,774.12,747.94,768.41,2699,0,0
2015-04-07,768.07,777.82,764.72,769.71,2997,0,0
2015-04-08,769.38,773.08,753.95,755.25,2919,0,0
2015-04-09,755.36,765.01,752.6,763.05,3131,0,0
2015-04-10,762.09,779.48,759.97,777.21,2692,0,0
2015-04-13,778.35,787.56,765.55,770.3,3007,0,0
2015-04-14,769.42,770.93,756.34,764.45,3391,0,0
2015-04-15,763.24,773.4,759.37,770.69,2821,0,0
2015-04-16,768.99,783.18,768.05,780.37,3368,0,0
2015-04-17,779.87,786.03,777.46,785.89,2808,0,0
2015-04-20,785.54,787.79,765.1,774.03,3414,0,0
2015-04-21,772.44,779.13,768.2,768.95,3314,0,0
2015-04-22,768.37,773.58,754.89,755.82,5196,0,0
2015-04-23,755.35,777.03,755.35,770.06,4473,0,0
2015-04-24,769.08,777.99,768.11,771.31,4175,0,0
2015-04-27,772.84,785.67,767.72,779.14,4354,0,0
2015-04-28,777.55,782.87,771.33,776.95,3826,0,0
2015-04-29,775.96,785.2,772.89,781.77,4223,0,0
2015-04-30,782.22,784.41,769.68,777.35,4097,0,0
2015-05-01,778.11,781.16,771.03,773.73,2965,0,0
2015-05-04,771.52,784.26,770.83,781.99,3560,0,0
2015-05-05,781.39,798.15,777.87,792.07,3721,0,0
2015-05-06,792.3,796.84,787.63,793.46,3094,0,0
2015-05-07,792.21,793.91,787.64,788.79,1837,0,0
2015-05-22,777.86,784.79,769.71,782.73,1618,0,0
2015-05-25,782.19,789.1,776.81,787.99,598,0,0
2015-05-26,786.92,788.07,779.16,780.16,2780,0,0
2015-05-27,780.18,787.3,778.09,785.82,1967,0,0
2015-05-28,784.41,788.64,780.38,785.3,1897,0,0
2015-05-29,783.82,786.53,775.32,776.48,2975,0,0
2015-06-01,776.16,778.89,771.28,772.9,2753,0,0
2015-06-02,771.65,776.28,764.24,767.58,2742,0,0
2015-06-03,767.47,768.8,751.71,757.48,2404,0,0
2015-06-04,757.51,760.3,753.23,754.55,3085,0,0
2015-06-05,754.82,757.22,747.0,752.03,2350,0,0
2015-06-08,751.59,754.27,742.11,744.42,2251,0,0
2015-06-09,743.48,751.63,739.38,739.86,2846,0,0
2015-06-10,741.19,749.01,739.22,744.23,2306,0,0
2015-06-11,743.33,747.89,738.27,744.03,2836,0,0
2015-06-12,744.51,746.99,735.94,736.82,2496,0,0
2015-06-15,737.15,740.19,732.95,734.34,2681,0,0
2015-06-16,734.18,741.42,731.83,732.73,1906,0,0
2015-06-17,731.61,733.64,717.65,723.63,2223,0,0
2015-06-18,723.01,727.16,717.24,720.7,2957,0,0
2015-06-19,719.23,720.7,705.98,706.16,2037,0,0
2015-06-22,706.81,709.06,691.14,695.81,2575,0,0
2015-06-23,695.99,704.4,692.83,696.85,1709,0,0
2015-06-24,695.04,703.53,693.98,695.34,1889,0,0
2015-06-25,694.37,699.05,670.24,678.91,2710,0,0
2015-06-26,677.67,681.05,669.54,678.81,2457,0,0
2015-06-29,679.94,681.56,665.75,666.69,2918,0,0
