time,open,high,low,close,tick_volume,spread,real_volume
2015-03-30,1140.27,1140.39,1114.26,1120.04,5707,0,0
2015-03-31,1119.24,1143.94,1114.69,1140.92,5844,0,0
2015-04-01,1140.77,1168.4,1132.78,1162.99,6422,0,0
2015-04-02,1163.12,1165.41,1149.52,1154.97,6257,0,0
2015-04-06,1161.27,1186.92,1161.27,1176.86,5751,0,0
2015-04-07,1175.76,1176.23,1163.89,1171.89,4666,0,0
2015-04-08,1172.05,1176.35,1159.74,1164.61,6339,0,0
2015-04-09,1163.7,1165.52,1153.69,1154.99,5170,0,0
2015-04-10,1154.75,1176.02,1152.62,1171.29,6127,0,0
2015-04-13,1172.02,1173.38,1147.68,1151.19,6825,0,0
2015-04-14,1151.65,1159.33,1140.08,1150.61,8775,0,0
2015-04-15,1150.83,1163.81,1145.79,1161.11,7251,0,0
2015-04-16,1160.75,1174.32,1152.68,1159.68,9634,0,0
2015-04-17,1159.33,1171.23,1157.16,1170.77,8376,0,0
2015-04-20,1170.78,1172.96,1143.06,1147.32,6781,0,0
2015-04-21,1147.25,1158.91,1144.81,1148.82,5654,0,0
2015-04-22,1148.7,1151.17,1128.07,1128.52,7175,0,0
2015-04-23,1128.62,1139.5,1126.42,1136.47,7001,0,0
2015-04-24,1135.54,1138.19,1118.38,1123.81,7058,0,0
2015-04-27,1124.51,1154.28,1117.88,1147.76,8014,0,0
2015-04-28,1145.41,1160.19,1139.97,1156.86,7480,0,0
2015-04-29,1155.87,1162.28,1150.5,1153.94,7370,0,0
2015-04-30,1154.04,1155.11,1130.23,1143.28,9598,0,0
2015-05-01,1141.85,1145.0,1126.29,1131.16,6999,0,0
2015-05-04,1128.03,1154.14,1126.02,1147.23,4657,0,0
2015-05-05,1146.82,1156.96,1141.59,1145.39,5843,0,0
2015-05-06,1145.62,1150.06,1135.76,1143.13,5624,0,0
2015-05-07,1143.46,1146.07,1128.98,1130.44,6761,0,0
2015-05-08,1130.74,1144.57,1128.63,1140.79,6333,0,0
2015-05-11,1140.98,1142.22,1122.0,1125.24,5608,0,0
2015-05-12,1124.96,1141.14,1123.52,1132.48,5598,0,0
2015-05-13,1132.72,1153.22,1129.19,1147.92,6927,0,0
2015-05-14,1149.0,1165.93,1144.86,1157.85,6111,0,0
2015-05-15,1158.16,1172.33,1150.35,1167.7,7559,0,0
2015-05-18,1167.4,1178.36,1162.48,1176.0,6485,0,0
2015-05-19,1175.49,1175.49,1146.21,1149.28,8209,0,0
2015-05-20,1148.79,1159.32,1147.05,1155.45,7030,0,0
2015-05-21,1155.13,1158.57,1144.71,1153.67,6500,0,0
2015-05-22,1152.66,1160.64,1143.17,1145.54,6944,0,0
2015-05-25,1144.68,1151.07,1142.76,1149.72,2537,0,0
2015-05-26,1148.02,1149.13,1121.8,1123.9,7499,0,0
2015-05-27,1122.37,1130.27,1114.57,1116.99,4655,0,0
2015-05-28,1117.37,1126.62,1108.69,1116.45,5044,0,0
2015-05-29,1115.95,1119.21,1110.23,1111.75,6199,0,0
2015-06-01,1111.88,1123.6,1102.36,1102.71,7806,0,0
2015-06-02,1102.8,1114.4,1100.71,1111.86,7924,0,0
2015-06-03,1112.36,1116.29,1100.13,1102.63,6941,0,0
2015-06-04,1101.78,1108.94,1094.77,1099.47,7593,0,0
2015-06-05,1098.61,1101.0,1088.39,1095.76,7171,0,0
2015-06-08,1094.35,1103.7,1093.18,1101.48,5134,0,0
2015-06-09,1101.63,1114.92,1101.16,1107.65,4816,0,0
2015-06-10,1107.5,1119.79,1105.49,1113.91,6430,0,0
2015-06-11,1114.4,1117.27,1101.64,1107.58,6011,0,0
2015-06-12,1107.54,1108.15,1093.88,1094.96,4572,0,0
2015-06-15,1096.67,1098.88,1077.93,1087.51,6669,0,0
2015-06-16,1086.78,1095.04,1078.76,1080.12,3943,0,0
2015-06-17,1079.63,1085.69,1071.6,1081.1,5570,0,0
2015-06-18,1080.06,1095.79,1077.66,1082.23,5999,0,0
2015-06-19,1081.61,1088.91,1081.07,1084.09,3823,0,0
2015-06-22,1083.9,1085.09,1058.54,1061.08,4818,0,0
2015-06-23,1061.12,1074.77,1059.26,1066.4,4249,0,0
2015-06-24,1066.66,1076.63,1064.75,1076.51,3762,0,0
2015-06-25,1075.38,1085.06,1072.27,1084.03,4374,0,0
2015-06-26,1082.41,1083.89,1070.53,1081.8,4292,0,0
2015-06-29,1083.16,1094.46,1067.28,1080.45,6662,0,0
2015-06-30,1080.95,1086.07,1074.46,1078.36,6870,0,0
2015-07-01,1080.56,1089.91,1079.2,1081.77,4677,0,0
2015-07-02,1082.55,1086.04,1073.35,1083.47,4970,0,0
2015-07-03,1083.87,1086.54,1080.87,1082.76,3001,0,0
2015-07-06,1086.77,1086.77,1047.93,1063.59,5511,0,0
2015-07-07,1063.13,1068.5,1026.86,1039.95,7953,0,0
2015-07-08,1036.98,1039.01,1010.23,1031.28,10335,0,0
2015-07-09,1030.63,1039.75,1019.81,1022.75,8188,0,0
2015-07-10,1024.03,1038.65,1020.74,1032.05,5864,0,0
2015-07-13,1031.25,1037.45,1020.62,1034.27,7365,0,0
2015-07-14,1033.69,1036.02,1025.07,1026.22,4988,0,0
2015-07-15,1025.97,1030.86,1013.98,1021.77,4711,0,0
2015-07-16,1021.25,1021.9,1005.67,1010.66,5673,0,0
2015-07-17,1009.98,1010.64,993.0,994.23,4524,0,0
2015-07-20,994.88,996.23,945.64,978.09,7463,0,0
2015-07-21,975.62,992.9,965.43,977.07,7233,0,0
2015-07-22,978.78,979.69,960.92,979.37,6833,0,0
2015-07-23,980.0,998.98,973.16,977.4,6968,0,0
2015-07-24,978.88,990.26,968.78,987.52,7789,0,0
2015-07-27,987.49,992.23,975.88,982.34,7716,0,0
2015-07-28,983.97,986.84,976.72,984.21,5485,0,0
2015-07-29,983.52,990.54,977.52,986.28,5809,0,0
2015-07-30,984.82,994.04,978.42,988.53,6259,0,0
2015-07-31,988.28,994.76,972.51,982.49,6782,0,0
2015-08-03,980.46,984.91,956.59,961.0,5962,0,0
2015-08-04,960.22,961.44,944.41,953.57,5883,0,0
2015-08-05,952.36,955.83,946.84,948.43,4961,0,0
2015-08-06,948.22,956.95,945.08,950.61,4180,0,0
2015-08-07,949.22,965.08,945.06,961.61,6591,0,0
2015-08-10,960.03,990.6,955.52,984.77,5849,0,0
2015-08-11,984.04,1000.71,973.83,985.91,8946,0,0
2015-08-12,986.1,1005.63,977.71,999.87,8134,0,0
2015-08-13,1000.61,1001.87,986.93,991.56,6006,0,0
2015-08-14,990.48,1002.32,984.47,991.25,5446,0,0
2015-08-17,989.78,999.86,988.28,997.98,4477,0,0
2015-08-18,998.04,999.98,979.88,994.1,6071,0,0
2015-08-19,993.85,1015.29,986.85,1014.03,7002,0,0
2015-08-20,1013.38,1034.55,1010.22,1031.4,7295,0,0
2015-08-21,1032.44,1036.88,1014.93,1018.37,9485,0,0
2015-08-24,1021.0,1027.2,974.82,990.02,20171,0,0
2015-08-25,990.62,1001.04,969.57,976.36,12511,0,0
2015-08-26,975.68,986.65,969.52,982.22,6801,0,0
2015-08-27,982.43,1008.0,979.76,999.27,6495,0,0
2015-08-28,1001.03,1025.16,997.53,1017.19,10086,0,0
2015-08-31,1015.71,1015.71,996.73,1008.65,5976,0,0
2015-09-01,1007.42,1016.69,997.55,1001.89,9060,0,0
2015-09-02,1001.73,1016.77,1000.14,1014.56,8048,0,0
2015-09-03,1014.6,1022.23,1002.02,1005.81,7910,0,0
2015-09-04,1005.25,1009.68,989.08,989.72,7411,0,0
2015-09-07,991.83,994.68,979.24,988.27,5723,0,0
2015-09-08,987.62,1010.9,985.64,1002.85,6115,0,0
2015-09-09,1002.71,1009.62,978.64,980.02,6204,0,0
2015-09-10,979.75,991.18,975.36,978.03,4227,0,0
2015-09-11,980.04,985.11,958.34,969.36,11037,0,0
2015-09-14,965.91,972.9,951.4,954.9,7190,0,0
2015-09-15,954.4,963.09,949.01,961.9,5979,0,0
2015-09-16,962.15,975.81,954.9,972.74,5781,0,0
2015-09-17,971.96,987.06,959.9,982.81,7804,0,0
2015-09-18,980.54,989.77,970.4,980.96,8168,0,0
2015-09-21,970.06,983.06,968.11,969.4,4303,0,0
2015-09-22,968.93,971.96,934.27,934.86,6010,0,0
2015-09-23,934.4,946.0,925.98,931.49,6661,0,0
2015-09-24,932.18,958.8,931.4,954.25,10883,0,0
2015-09-25,952.93,953.9,943.1,946.26,10525,0,0
2015-09-28,946.37,949.34,915.5,917.25,10080,0,0
2015-09-29,916.18,920.9,898.9,916.4,7997,0,0
2015-09-30,916.9,927.19,905.84,907.23,6371,0,0
2015-10-01,907.28,917.43,899.99,904.46,4985,0,0
2015-10-02,904.44,914.46,892.76,909.89,5950,0,0
2015-10-05,909.74,926.42,906.7,914.53,5939,0,0
2015-10-06,914.44,942.23,912.12,935.44,4399,0,0
2015-10-07,934.76,953.81,933.77,945.33,5357,0,0
2015-10-08,945.56,956.77,931.88,948.21,6411,0,0
2015-10-09,948.65,985.12,943.5,981.22,6798,0,0
2015-10-12,979.91,1000.71,976.44,995.17,5100,0,0
2015-10-13,995.27,997.32,977.4,989.31,5880,0,0
2015-10-14,989.67,999.76,983.95,997.42,5852,0,0
2015-10-15,997.67,1006.1,985.56,1004.01,6357,0,0
2015-10-16,1003.87,1024.82,994.72,1013.54,5867,0,0
2015-10-19,1014.94,1019.47,1008.44,1012.19,6082,0,0
2015-10-20,1012.28,1022.5,1004.88,1018.86,5229,0,0
2015-10-21,1017.76,1022.13,1000.28,1003.74,5085,0,0
2015-10-22,1003.38,1011.39,998.38,1009.75,4907,0,0
2015-10-23,1009.65,1018.67,994.44,1000.48,5738,0,0
2015-10-26,998.78,1001.97,985.94,995.1,3668,0,0
2015-10-27,994.84,995.85,981.86,986.7,3695,0,0
2015-10-28,986.69,1012.44,984.04,1000.08,5388,0,0
2015-10-29,999.25,1001.26,988.34,990.82,4658,0,0
2015-10-30,991.42,997.93,983.23,983.72,4553,0,0
2015-11-02,983.3,983.97,969.3,976.39,3793,0,0
2015-11-03,975.35,982.27,958.24,961.76,3158,0,0
2015-11-04,961.52,975.23,950.94,953.71,5326,0,0
2015-11-05,953.42,958.79,948.57,949.4,4168,0,0
2015-11-06,949.5,959.47,936.13,939.38,4954,0,0
2015-11-09,939.68,941.51,908.79,912.49,4679,0,0
2015-11-10,911.98,917.29,895.93,899.69,4313,0,0
2015-11-11,899.42,905.98,878.76,881.3,4542,0,0
2015-11-12,880.95,886.88,872.84,877.31,6030,0,0
2015-11-13,877.01,882.73,858.46,859.96,5181,0,0
2015-11-16,864.21,873.64,856.66,865.54,4590,0,0
2015-11-17,864.88,872.58,849.11,853.18,5376,0,0
2015-11-18,852.98,854.43,844.41,848.74,5219,0,0
2015-11-19,848.7,862.97,847.55,854.61,4698,0,0
2015-11-20,855.03,868.18,851.58,853.54,4211,0,0
2015-11-23,854.13,855.96,843.68,844.35,3295,0,0
2015-11-24,844.99,851.18,836.21,842.3,5283,0,0
2015-11-25,841.55,848.59,832.86,844.11,4594,0,0
2015-11-26,843.8,856.03,842.35,852.17,3222,0,0
2015-11-27,851.71,856.59,833.23,836.07,4270,0,0
2015-11-30,834.77,837.99,825.24,830.55,4485,0,0
2015-12-01,831.15,845.73,830.71,839.15,4669,0,0
2015-12-02,838.12,852.28,828.83,830.57,4761,0,0
2015-12-03,832.21,848.91,825.03,846.93,7038,0,0
2015-12-04,846.9,886.85,844.36,879.09,8245,0,0
2015-12-07,880.84,886.35,850.99,854.53,5844,0,0
2015-12-08,854.17,862.65,844.13,846.48,6051,0,0
2015-12-09,846.32,865.74,845.52,855.91,6481,0,0
2015-12-10,854.68,861.88,847.78,854.33,5433,0,0
2015-12-11,853.63,858.62,837.43,839.99,5569,0,0
2015-12-14,841.38,855.63,836.09,847.85,5714,0,0
2015-12-15,847.51,859.76,845.67,854.37,5344,0,0
2015-12-16,854.75,879.21,853.49,873.31,5934,0,0
2015-12-17,872.43,882.51,841.16,843.23,6156,0,0
2015-12-18,842.86,861.33,839.25,858.02,5700,0,0
2015-12-21,858.27,880.45,853.8,872.4,5442,0,0
2015-12-22,872.1,878.73,868.88,870.09,4168,0,0
2015-12-23,870.82,874.89,861.33,867.07,2787,0,0
2015-12-24,867.92,884.26,867.53,883.09,2932,0,0
